IPN 80,80,42,5.9,3.9
IPN 100,100,50,6.8,4.5
IPN 120,120,58,7.7,5.1
IPN 140,140,66,8.6,5.7
IPN 160,160,74,9.5,6.3
IPN 180,180,82,10.4,6.9
IPN 200,200,90,11.3,7.5
IPN 220,220,98,12.2,8.1
IPN 240,240,106,13.1,8.7
IPN 260,260,113,14.1,9.4
IPN 280,280,119,15.2,10.1
IPN 300,300,125,16.2,10.8
IPN 320,320,131,17.3,11.5
IPN 340,340,137,18.3,12.2
IPN 360,360,143,19.5,13.0
IPN 380,380,149,20.5,13.7
IPN 400,400,155,21.6,14.4
IPN 450,450,170,24.3,16.2
IPN 500,500,185,27.0,18.0
IPN 550,550,200,30.0,19.0
IPN 600,600,215,32.4,21.6
