HE 100 A,2124,96,100,3490000,1340000,83000,41100
HE 100 AA,1560,91,100,2370000,921000,58400,28400
HE 100 B,2604,100,100,4500000,1670000,104000,51400
HE 100 M,5324,120,106,11400000,3990000,236000,116000
HE 120 A,2534,114,120,6060000,2310000,120000,58900
HE 120 AA,1855,109,120,4130000,1590000,84100,40600
HE 120 B,3401,120,120,8640000,3180000,165000,81000
HE 120 M,6641,140,126,20200000,7030000,351000,172000
HE 140 A,3142,133,140,10300000,3890000,174000,84900
HE 140 AA,2302,128,140,7200000,2750000,124000,59900
HE 140 B,4296,140,140,15100000,5500000,245000,120000
HE 140 M,8056,160,146,32900000,11400000,494000,241000
HE 160 A,3877,152,160,16700000,6160000,245000,118000
HE 160 AA,3036,148,160,12800000,4790000,190000,91400
HE 160 B,5425,160,160,24900000,8890000,354000,170000
HE 160 M,9705,180,166,51000000,17600000,675000,326000
HE 180 A,4525,171,180,25100000,9250000,325000,157000
HE 180 AA,3653,167,180,19700000,7300000,258000,124000
HE 180 B,6525,180,180,38300000,13600000,481000,231000
HE 180 M,11330,200,186,74800000,25800000,883000,425000
HE 200 A,5383,190,200,36900000,13400000,430000,204000
HE 200 AA,4413,186,200,29400000,10700000,347000,163000
HE 200 B,7808,200,200,57000000,20000000,643000,306000
HE 200 M,13130,220,206,106000000,36500000,1140000,543000
HE 220 A,6434,210,220,54100000,19600000,569000,271000
HE 220 AA,5146,205,220,41700000,15100000,446000,209000
HE 220 B,9104,220,220,80900000,28400000,827000,394000
HE 220 M,14940,240,226,146000000,50100000,1420000,679000
HE 240 A,7684,230,240,77600000,27700000,745000,352000
HE 240 AA,6038,224,240,58400000,20800000,571000,264000
HE 240 B,10600,240,240,113000000,39200000,1050000,498000
HE 240 M,19960,270,248,243000000,81500000,2120000,1010000
HE 260 A,8682,250,260,105000000,36700000,920000,430000
HE 260 AA,6897,244,260,79800000,27900000,715000,328000
HE 260 B,11840,260,260,149000000,51400000,1280000,602000
HE 260 M,21960,290,268,313000000,105000000,2520000,1190000
HE 280 A,9726,270,280,137000000,47600000,1110000,518000
HE 280 AA,7802,264,280,106000000,36600000,873000,399000
HE 280 B,13140,280,280,193000000,66000000,1530000,718000
HE 280 M,24020,310,288,396000000,132000000,2970000,1400000
HE 300 A,11250,290,300,183000000,63100000,1380000,641000
HE 300 AA,8891,283,300,138000000,47300000,1070000,482000
HE 300 B,14910,300,300,252000000,85600000,1870000,870000
HE 300 M,30310,340,310,592000000,194000000,4080000,1910000
HE 320 A,12440,310,300,229000000,69900000,1630000,710000
HE 320 AA,9458,301,300,165000000,49600000,1200000,506000
HE 320 B,16130,320,300,308000000,92400000,2150000,939000
HE 320 M,31200,359,309,681000000,197000000,4440000,1950000
HE 340 A,13350,330,300,277000000,74400000,1850000,756000
HE 340 AA,10050,320,300,196000000,51900000,1340000,529000
HE 340 B,17090,340,300,367000000,96900000,2410000,986000
HE 340 M,31580,377,309,764000000,197000000,4720000,1950000
HE 360 A,14280,350,300,331000000,78900000,2090000,802000
HE 360 AA,10660,339,300,230000000,54100000,1500000,553000
HE 360 B,18060,360,300,432000000,101000000,2680000,1030000
HE 360 M,31880,395,308,849000000,195000000,4990000,1940000
HE 400 A,15900,390,300,451000000,85600000,2560000,873000
HE 400 AA,11770,378,300,313000000,58600000,1820000,600000
HE 400 B,19780,400,300,577000000,108000000,3230000,1100000
HE 400 M,32580,432,307,1040000000,193000000,5570000,1930000
HE 450 A,17800,440,300,637000000,94700000,3220000,966000
HE 450 AA,12710,425,300,419000000,60900000,2180000,624000
HE 450 B,21800,450,300,799000000,117000000,3980000,1200000
HE 450 M,33540,478,307,1320000000,193000000,6330000,1940000
HE 500 A,19750,490,300,870000000,104000000,3950000,1060000
HE 500 AA,13690,472,300,546000000,63100000,2580000,649000
HE 500 B,23860,500,300,1070000000,126000000,4820000,1290000
HE 500 M,34430,524,306,1620000000,192000000,7090000,1930000
HE 550 A,21180,540,300,1120000000,108000000,4620000,1110000
HE 550 AA,15280,522,300,729000000,67700000,3130000,699000
HE 550 B,25410,550,300,1370000000,131000000,5590000,1340000
HE 550 M,35440,572,306,1980000000,192000000,7930000,1940000
HE 600 A,22650,590,300,1410000000,113000000,5350000,1160000
HE 600 AA,16410,571,300,919000000,69900000,3620000,725000
HE 600 B,27000,600,300,1710000000,135000000,6430000,1390000
HE 600 M,36370,620,305,2369999872,190000000,8770000,1930000
HE 600x337,42920,632,310,2832000000,229400000,10380000,2310000
HE 600x340,43270,632,308,2830000128,225000000,10400000,2290000
HE 600x399,50850,648,315,3446000128,282800000,12460000,2814000
HE 600x402,51170,648,313,3440000000,278000000,12500000,2790000
HE 650 A,24160,640,300,1750000000,117000000,6140000,1210000
HE 650 AA,17580,620,300,1140000000,72200000,4160000,751000
HE 650 B,28630,650,300,2110000000,140000000,7320000,1440000
HE 650 M,37370,668,305,2820000000,190000000,9660000,1940000
HE 650x343,43750,680,309,3336999936,227200000,11350000,2300000
HE 650x347,44160,680,307,3340000000,223000000,11400000,2280000
HE 650x407,51880,696,314,4054000128,280200000,13620000,2803000
HE 650x410,52260,696,312,4049999872,275000000,13600000,2780000
HE 700 A,26050,690,300,2150000128,122000000,7030000,1260000
HE 700 AA,19090,670,300,1430000000,76700000,4840000,800000
HE 700 B,30640,700,300,2569999872,144000000,8330000,1500000
HE 700 M,38300,716,304,3289999872,188000000,10500000,1930000
HE 700x352,44860,728,308,3896999936,225100000,12390000,2293000
HE 700x356,45310,728,306,3900000000,221000000,12400000,2270000
HE 700x418,53190,744,313,4725000192,277600000,14840000,2797000
HE 700x421,53610,744,311,4720000000,273000000,14900000,2770000
HE 800 A,28580,790,300,3030000128,126000000,8700000,1310000
HE 800 AA,21850,770,300,2090000000,81300000,6230000,857000
HE 800 B,33420,800,300,3590000128,149000000,10200000,1550000
HE 800 M,40430,814,303,4430000128,186000000,12500000,1930000
HE 800x373,47460,826,308,5239000064,225300000,14700000,2311000
HE 800x377,48010,826,306,5240000000,221000000,14800000,2290000
HE 800x444,56600,842,313,6344999936,278000000,17640000,2827000
HE 800x448,57110,842,311,6339999744,273000000,17700000,2810000
HE 900 A,32050,890,300,4220000000,136000000,10800000,1410000
HE 900 AA,25220,870,300,3009999872,90400000,8000000,958000
HE 900 B,37130,900,300,4940000256,158000000,12600000,1660000
HE 900 M,42360,910,302,5699999744,185000000,14400000,1930000
HE 900x391,49770,922,307,6743000064,223200000,16990000,2312000
HE 900x396,50410,922,305,6760000000,219000000,17100000,2300000
HE 900x466,59370,938,312,8149000192,275600000,20380000,2832000
HE 900x471,59980,938,310,8160000000,271000000,20500000,2810000
HE 1000 A,34680,990,300,5539999744,140000000,12800000,1470000
HE 1000 AA,28220,970,300,4070000128,95000000,9780000,1020000
HE 1000 B,40000,1000,300,6449999872,163000000,14900000,1720000
HE 1000 M,44420,1008,302,7219999744,185000000,16600000,1940000
HE 1000x249,31680,980,300,4810999808,117500000,11350000,1245000
HE 1000x393,50020,1016,303,8077000192,205000000,18540000,2168000
HE 1000x415,52870,1020,304,8529999872,217000000,19600000,2300000
HE 1000x438,55720,1026,305,9098000384,233600000,20770000,2464000
HE 1000x494,62910,1036,309,10300000256,268000000,23400000,2820000
HE 1000x584,74370,1056,314,12460999680,334300000,28039000,3475000
