HD 260x54.1,244,260,9.5,6.5
HD 260x68.2,250,260,12.5,7.5
HD 260x93.0,260,260,17.5,10
HD 260x114,268,262,21.5,12.5
HD 260x142,278,265,26.5,15.5
HD 260x172,290,268,32.5,18
HD 320x74.2,301,300,11,8
HD 320x97.6,310,300,15.5,9
HD 320x127,320,300,20.5,11.5
HD 320x158,330,303,25.5,14.5
HD 320x198,343,306,32,18
HD 320x245,359,309,40,21
HD 320x300,375,313,48,27
HD 360x134,356,369,18,11.2
HD 360x147,360,370,19.8,12.3
HD 360x162,364,371,21.8,13.3
HD 360x179,368,373,23.9,15
HD 360x196,372,374,26.2,16.5
HD 400x187,368,391,24,15
HD 400x216,375,394,27.7,17.3
HD 400x237,380,395,30.2,18.9
HD 400x262,387,398,33.3,21.2
HD 400x287,393,399,36.6,22.6
HD 400x314,399,401,39.6,24.9
HD 400x347,407,404,43.7,27,2
HD 400x382,416,406,48,29.8
HD 400x421,425,409,52.6,32.8
HD 400x463,435,412,57.4,35.8
HD 400x509,446,416,62.7,39.1
HD 400x551,455,418,67.6,42
HD 400x592,465,421,72.3,45
HD 400x634,474,424,77.1,47.6
HD 400x677,483,428,81.5,51.2
HD 400x744,498,432,88.9,55.6
HD 400x818,514,437,97,60.5
HD 400x900,531,442,106,65.9
HD 400x990,550,448,115,71.9
HD 400x1086,569,454,125,78
