HL 920x345,927,418,32,19.3
HL 920x368,931,419,34.3,20.3
HL 920x390,936,420,36.6,21.3
HL 920x420,943,422,39.9,22.5
HL 920x449,948,423,42.7,24
HL 920x491,957,422,47,25.9
HL 920x537,965,425,51.1,28.4
HL 920x588,976,427,55.9,31
HL 920x656,987,431,62,34.5
HL 920x725,999,434,68.1,38.1
HL 920x787,1011,437,73.9,40.9
HL 920x970,1043,446,89.9,50
HL 1000 A,990,400,313,16.5
HL 1000 AA,982,400,27,16.5
HL 1000 B,1000,400,36,19
HL 1000 M,1008,402,40,21
HL 1000x296,982,400,27,16.5
HL 1000x443,1012,402,41.9,23.6
HL 1000x477,1018,404,45,25,5
HL 1000x483,1020,404,46,25.4
HL 1000x539,1030,407,51.5,28.4
HL 1000x554,1032,408,52,29.5
HL 1000x591,1040,409,55.9,31
HL 1000x642,1048,412,60,34
HL 1000x748,1068,417,70,39
HL 1000x883,1092,424,82,45.5
HL 1100 A,1090,400,31,18
HL 1100 B,1100,400,36,20
HL 1100 M,1108,402,40,22
HL 1100 R,1118,405,45,26
