IPE 80,764,80,46,801000,84900,23200,5820
IPE 100,1032,100,55,1710000,159000,39400,9150
IPE 120,1321,120,64,3180000,277000,60700,13600
IPE 140,1643,140,73,5410000,449000,88300,19300
IPE 160,2009,160,82,8690000,683000,124000,26100
IPE 180,2395,180,91,13200000,1010000,166000,34600
IPE 200,2848,200,100,19400000,1420000,221000,44600
IPE 220,3337,220,110,27700000,2050000,285000,58100
IPE 240,3912,240,120,38900000,2840000,367000,73900
IPE 270,4594,270,135,57900000,4200000,484000,97000
IPE 300,5381,300,150,83600000,6040000,628000,125000
IPE 330,6261,330,160,118000000,7880000,804000,154000
IPE 360,7273,360,170,163000000,10400000,1020000,191000
IPE 400,8446,400,180,231000000,13200000,1310000,229000
IPE 450,9882,450,190,337000000,16800000,1700000,276000
IPE 500,11550,500,200,482000000,21400000,2190000,336000
IPE 550,13440,550,210,671000000,26700000,2790000,401000
IPE 600,15600,600,220,921000000,33900000,3510000,486000
IPE 750x137,17460,753,263,1600000000,51700000,4870000,614000
IPE 750x147,18750,753,265,1660000000,52900000,5110000,631000
IPE 750x173,22130,762,267,2060000000,68700000,6220000,810000
IPE 750x196,25080,770,268,2400000000,81800000,7170000,959000
IPE A 80,638,78,46,644000,68500,19000,4690
IPE A 100,878,98,55,1410000,131000,33000,7540
IPE A 120,1103,117.6,64,2570000,224000,49900,11000
IPE A 140,1339,137.4,73,4350000,364000,71600,15500
IPE A 160,1618,157,82,6890000,544000,99100,20700
IPE A 180,1958,177,91,10600000,819000,135000,28000
IPE A 200,2347,197,100,15900000,1170000,182000,36500
IPE A 220,2826,217,110,23200000,1710000,240000,48500
IPE A 240,3331,237,120,32900000,2400000,312000,62400
IPE A 270,3915,267,135,49200000,3580000,413000,82300
IPE A 300,4653,297,150,71700000,5190000,542000,107000
IPE A 330,5474,327,160,102000000,6850000,702000,133000
IPE A 360,6396,357.6,170,145000000,9440000,907000,172000
IPE A 400,7310,397,180,203000000,11700000,1140000,202000
IPE A 450,8555,447,190,298000000,15000000,1490000,246000
IPE A 500,10110,497,200,429000000,19400000,1950000,302000
IPE A 550,11730,547,210,600000000,24300000,2480000,362000
IPE A 600,13700,597,220,829000000,31200000,3140000,442000
IPE O 180,2710,182,92,15100000,1170000,189000,39900
IPE O 200,3196,202,102,22100000,1690000,249000,51900
IPE O 220,3739,222,112,31300000,2400000,321000,66900
IPE O 240,4371,242,122,43700000,3290000,410000,84400
IPE O 270,5384,274,136,69500000,5140000,575000,118000
IPE O 300,6283,304,152,99900000,7460000,744000,153000
IPE O 330,7262,334,162,139000000,9600000,943000,185000
IPE O 360,8413,364,172,191000000,12500000,1190000,227000
IPE O 400,9639,404,182,268000000,15600000,1500000,269000
IPE O 450,11770,456,192,409000000,20900000,2050000,341000
IPE O 500,13670,506,202,578000000,26200000,2610000,409000
IPE O 550,15610,556,212,792000000,32200000,3260000,481000
IPE O 600,19680,610,224,1180000000,45200000,4470000,640000
